"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"231001_at",-2.01163333333334,7.521547,-12.0744440461112,1.8206232450466e-22,4.38513550321247e-20,40.5382367049254
"226713_at",-1.32860716666667,8.81881975,-12.0727092164284,1.838049240688e-22,4.40769044888668e-20,40.5288427666897
"203888_at",-1.96009333333334,9.02637466666667,-12.0685695149957,1.88030964886243e-22,4.48934192364861e-20,40.5064260581839
"241986_at",-1.331984,5.05138616666667,-12.0662372840417,1.90454557744426e-22,4.52743606290282e-20,40.4937965179212
"219836_at",-2.34004133333334,7.1382135,-12.0647002837898,1.92068848399667e-22,4.54604514556355e-20,40.4854731751511
"209529_at",1.90423883333333,7.96721791666667,12.0572216608769,2.00121283775673e-22,4.7162203407047e-20,40.4449723629187
"203060_s_at",-1.20755916666666,11.59836875,-12.0348823748615,2.26245047279829e-22,5.3089905407831e-20,40.3239762719524
"213620_s_at",-1.38803,10.8587033333333,-12.0339862171969,2.27361487747908e-22,5.31238860795592e-20,40.319121902041
"201292_at",2.63876216666667,7.56667041666667,12.0316760082115,2.30265079409972e-22,5.35733753903839e-20,40.3066076160145
"1555579_s_at",-1.37832983333333,9.64310925,-12.0297424415349,2.32723819652402e-22,5.39159950826063e-20,40.2961333795316
"238891_at",-1.55794766666667,5.36392433333333,-12.0287694595372,2.33971000160096e-22,5.39762212394652e-20,40.2908626129602
"206030_at",-1.6501755,6.35123358333333,-12.0165644505819,2.50196140287355e-22,5.74767813874417e-20,40.2247425763812
"214774_x_at",3.1959625,7.18053325,12.0141754328901,2.53501574678724e-22,5.79924627429257e-20,40.2117993352179
"203256_at",1.975129,8.31318366666667,12.0095832790525,2.59978601762416e-22,5.92263752140003e-20,40.1869191407441
"205507_at",-1.18922533333333,7.98398233333333,-12.0011634514824,2.72288038309617e-22,6.17732302679597e-20,40.1412980234675
"205846_at",-1.916391,7.73667666666667,-11.9878409202732,2.92968605848069e-22,6.61903244824098e-20,40.0691056025167
